variant,decay_ratio_threshold,recovery_ratio_threshold,derisk_scale,annual,vol,sharpe,max_dd,calmar,total_return,monthly_win_rate,signal_days,overlay_days,overlay_ratio,trigger_count,recovery_count,avg_scale,annual_delta,max_dd_delta,sharpe_delta,calmar_delta
bias_decay40_rec80_x0.50,0.4,0.8,0.5,25.09679026190841,21.356436077773033,1.0203425173847043,-34.628563402890386,0.7247424610116406,10777.066501772555,56.74603174603175,606,135,0.026512175962293796,46,46,0.9867439120188531,-1.3941404613114763,0.46216914121001196,-0.04415910238244303,-0.030184233377748892
bias_decay30_rec40_x0.25,0.3,0.4,0.25,25.41850735463582,21.467665984509427,1.0281909552540023,-35.090732544100334,0.724365252925144,11378.141389414175,57.14285714285714,606,61,0.011979575805184604,23,23,0.9910153181461115,-1.0724233685840652,6.394884621840902e-14,-0.03631066451314502,-0.030561441464245553
bias_decay30_rec50_x0.25,0.3,0.5,0.25,25.39698947791036,21.466482955420275,1.0274329499095103,-35.090732544100334,0.7237520460991418,11336.971375122444,57.14285714285714,606,65,0.012765121759622938,23,23,0.9904261586802828,-1.0939412453095265,6.394884621840902e-14,-0.037068669857637015,-0.031174648290247742
bias_decay40_rec70_x0.50,0.4,0.7,0.5,25.058319301244826,21.35810290996983,1.018833140720935,-34.628563402890386,0.7236315006689896,10707.230087879683,56.74603174603175,606,134,0.02631578947368421,46,46,0.9868421052631579,-1.4326114219750608,0.46216914121001196,-0.045668479046212296,-0.031295193720399905
bias_decay30_rec60_x0.25,0.3,0.6,0.25,25.39169490754558,21.466473365954872,1.0272357286777225,-35.090732544100334,0.7236011638011411,11326.862885754905,57.14285714285714,606,66,0.012961508248232521,23,23,0.9902788688138257,-1.0992358156743052,6.394884621840902e-14,-0.037265891089424796,-0.031325530588248385
bias_decay30_rec70_x0.25,0.3,0.7,0.25,25.39169490754558,21.466473365954872,1.0272357286777225,-35.090732544100334,0.7236011638011411,11326.862885754905,57.14285714285714,606,66,0.012961508248232521,23,23,0.9902788688138257,-1.0992358156743052,6.394884621840902e-14,-0.037265891089424796,-0.031325530588248385
bias_decay30_rec80_x0.25,0.3,0.8,0.25,25.39169490754558,21.466473365954872,1.0272357286777225,-35.090732544100334,0.7236011638011411,11326.862885754905,57.14285714285714,606,66,0.012961508248232521,23,23,0.9902788688138257,-1.0992358156743052,6.394884621840902e-14,-0.037265891089424796,-0.031325530588248385
bias_decay30_rec90_x0.25,0.3,0.9,0.25,25.39169490754558,21.466473365954872,1.0272357286777225,-35.090732544100334,0.7236011638011411,11326.862885754905,57.14285714285714,606,66,0.012961508248232521,23,23,0.9902788688138257,-1.0992358156743052,6.394884621840902e-14,-0.037265891089424796,-0.031325530588248385
bias_decay30_rec40_x0.00,0.3,0.4,0.0,25.05605308375385,21.464809058432632,1.0147558167118627,-35.090732544100284,0.7140361932389029,10703.129563818764,57.14285714285714,606,61,0.011979575805184604,23,23,0.9880204241948154,-1.4348776394660376,1.1368683772161603e-13,-0.04974580305528464,-0.04089050115048665
bias_decay30_rec50_x0.00,0.3,0.5,0.0,25.027341050191374,21.463625934924632,1.0137253817753498,-35.090732544100284,0.713217970549297,10651.305752548362,57.14285714285714,606,65,0.012765121759622938,23,23,0.987234878240377,-1.4635896730285118,1.1368683772161603e-13,-0.050776237991797535,-0.0417087238400925
bias_decay30_rec60_x0.00,0.3,0.6,0.0,25.020301444757862,21.46361671671367,1.0134622084647693,-35.090732544100284,0.7130173590224597,10638.6357945881,57.14285714285714,606,66,0.012961508248232521,23,23,0.9870384917517675,-1.4706292784620238,1.1368683772161603e-13,-0.05103941130237799,-0.04190933536692987
bias_decay30_rec70_x0.00,0.3,0.7,0.0,25.020301444757862,21.46361671671367,1.0134622084647693,-35.090732544100284,0.7130173590224597,10638.6357945881,57.14285714285714,606,66,0.012961508248232521,23,23,0.9870384917517675,-1.4706292784620238,1.1368683772161603e-13,-0.05103941130237799,-0.04190933536692987
bias_decay30_rec80_x0.00,0.3,0.8,0.0,25.020301444757862,21.46361671671367,1.0134622084647693,-35.090732544100284,0.7130173590224597,10638.6357945881,57.14285714285714,606,66,0.012961508248232521,23,23,0.9870384917517675,-1.4706292784620238,1.1368683772161603e-13,-0.05103941130237799,-0.04190933536692987
bias_decay30_rec90_x0.00,0.3,0.9,0.0,25.020301444757862,21.46361671671367,1.0134622084647693,-35.090732544100284,0.7130173590224597,10638.6357945881,57.14285714285714,606,66,0.012961508248232521,23,23,0.9870384917517675,-1.4706292784620238,1.1368683772161603e-13,-0.05103941130237799,-0.04190933536692987
bias_decay40_rec90_x0.25,0.4,0.9,0.25,24.477147103178343,21.301549468455168,0.9990062411022235,-34.39822187518566,0.7115817553591564,9702.794499433234,57.14285714285714,606,139,0.027297721916732128,46,46,0.9795267085624509,-2.0137836200415435,0.6925106689147356,-0.06549537866492383,-0.043344939030233176
bias_decay40_rec50_x0.25,0.4,0.5,0.25,24.422453831460068,21.338960613959298,0.9955655420612101,-34.39822187518566,0.7099917524829399,9612.988147834636,57.14285714285714,606,122,0.023959151610369208,46,46,0.9820306362922231,-2.0684768917598184,0.6925106689147356,-0.06893607770593724,-0.044934941906449644
bias_decay40_rec60_x0.25,0.4,0.6,0.25,24.398925499560818,21.312707923698426,0.9956323733653856,-34.39822187518566,0.7093077539906741,9574.596123420079,57.14285714285714,606,133,0.026119402985074626,46,46,0.980410447761194,-2.0920052236590685,0.6925106689147356,-0.06886924640176173,-0.04561894039871539
bias_decay40_rec80_x0.25,0.4,0.8,0.25,24.391173331772453,21.309439684080417,0.9954586275724142,-34.39822187518566,0.7090823886268337,9561.97831336064,57.14285714285714,606,135,0.026512175962293796,46,46,0.9801158680282797,-2.099757391447433,0.6925106689147356,-0.06904299219473309,-0.045844305762555826
