trade_id,strategy,symbol,holding_code,pair,long_leg,short_leg,entry_date,exit_date,entry_price,exit_price,side,holding_days,is_open_trade
439,Sub-A-DK,DK_T0439,SZ50/ZZ500_-1,SZ50/ZZ500,中证500,上证50,2026-01-23,2026-02-04,1.0,0.9824215382084281,long,9,False
440,Sub-A-DK,DK_T0440,ZZ500/ZZ1000_1,ZZ500/ZZ1000,中证500,中证1000,2026-02-06,2026-02-06,1.0,1.0001151755265671,long,1,False
441,Sub-A-DK,DK_T0441,HS300/ZZ1000_1,HS300/ZZ1000,沪深300,中证1000,2026-02-09,2026-02-09,1.0,0.9921803524147521,long,1,False
442,Sub-A-DK,DK_T0442,SZ50/ZZ1000_1,SZ50/ZZ1000,上证50,中证1000,2026-02-10,2026-02-10,1.0,0.9998183369317056,long,1,False
443,Sub-A-DK,DK_T0443,SZ50/ZZ500_1,SZ50/ZZ500,上证50,中证500,2026-02-11,2026-02-27,1.0,0.942700631050173,long,7,False
444,Sub-A-DK,DK_T0444,HS300/ZZ500_1,HS300/ZZ500,沪深300,中证500,2026-03-02,2026-03-04,1.0,1.0296309831500978,long,3,False
445,Sub-A-DK,DK_T0445,HS300/CYB_1,HS300/CYB,沪深300,创业板,2026-03-05,2026-03-11,1.0,0.9527991957194422,long,5,False
446,Sub-A-DK,DK_T0446,SZ50/HS300_-1,SZ50/HS300,沪深300,上证50,2026-03-12,2026-03-13,1.0,1.0030613160041197,long,2,False
447,Sub-A-DK,DK_T0447,HS300/ZZ500_1,HS300/ZZ500,沪深300,中证500,2026-03-16,2026-03-18,1.0,1.0172360145802208,long,3,False
448,Sub-A-DK,DK_T0448,ZZ500/CYB_-1,ZZ500/CYB,创业板,中证500,2026-03-19,2026-04-03,1.0,1.0122141262123172,long,12,False
449,Sub-A-DK,DK_T0449,SZ50/ZZ500_1,SZ50/ZZ500,上证50,中证500,2026-04-07,2026-04-13,1.0,0.961002190614629,long,5,False
450,Sub-A-DK,DK_T0450,ZZ500/CYB_-1,ZZ500/CYB,创业板,中证500,2026-04-15,2026-04-17,1.0,1.0175652468394212,long,3,True
