version,candidate,segment,start,end,name,lbs,abs_threshold,rebalance_threshold,min_turnover,commission,official_weight,ema_weight,ema_half_life,ema_abs_threshold,target_vol,vol_window,vol_lb,max_lev,volreg_enabled,volreg_short_window,volreg_long_window,volreg_enter,volreg_exit,ema_vol_halflife_days,days,cagr,vol,sharpe,maxdd,calmar,final_nav,monthly_win_rate,avg_bil,avg_cash,avg_risky,max_risky,annual_turnover,total_trade_cost
V7.5,emavolhl189,full_common,2008-12-15,2026-05-06,emavolhl189,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,20,2.0,True,10,250,2.0,1.6,189,4374,0.20737774437425394,0.1425645019394738,1.3936852495462213,-0.1388321203950038,1.4937302965929267,26.33683167832668,0.6476190476190476,0.14276557399966236,0.038866026520347506,0.9780249993639122,1.7097670171445776,14.733836854817346,0.2557373111229011
V7.5,emavolhl189,1Y,2025-05-06,2026-05-06,emavolhl189,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,20,2.0,True,10,250,2.0,1.6,189,252,0.5953825754645539,0.18019371808890317,2.68465606244043,-0.11611989881261187,5.127308769234726,1.5953825754645539,0.8461538461538461,0.005638624451083909,0.0,1.215488519964514,1.4776760083586415,13.15884913056361,0.01315884913056361
V7.5,emavolhl189,3Y,2023-05-08,2026-05-06,emavolhl189,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,20,2.0,True,10,250,2.0,1.6,189,752,0.3755596710751927,0.17602192663717775,1.9006068934833846,-0.12039818730648466,3.1193133341714776,2.589644907012541,0.7567567567567568,0.027116712237149256,0.02925531914893617,1.1373351050601095,1.4786173798423878,14.447960970249166,0.043114550196934026
V7.5,emavolhl189,5Y,2021-05-06,2026-05-06,emavolhl189,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,20,2.0,True,10,250,2.0,1.6,189,1256,0.2781247854473272,0.16285693503723436,1.5889268930794476,-0.12039818730648466,2.3100413026928304,3.3976187519702905,0.7213114754098361,0.12689843440279322,0.041401273885350316,0.9676025190425056,1.4786173798423878,13.893965721876254,0.0692492894709388
V7.5,emavolhl189,10Y,2016-05-06,2026-05-06,emavolhl189,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,20,2.0,True,10,250,2.0,1.6,189,2514,0.31077346265140515,0.15601810383868406,1.8134611804415686,-0.13883212039500303,2.238483873668408,14.875724462107588,0.7107438016528925,0.1166143112907532,0.049323786793953855,1.003906489369891,1.7097670171445776,14.79567607576974,0.1476044827558933
V7.5,emavolhl252,full_common,2008-12-15,2026-05-06,emavolhl252,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,20,2.0,True,10,250,2.0,1.6,252,4374,0.20789969327446256,0.14289383142400117,1.3938312939396598,-0.1393224820646327,1.4922192756946175,26.535149963454252,0.6476190476190476,0.1430560641568251,0.038866026520347506,0.979781238807089,1.6987720786624845,14.72675575581432,0.25561440347592
V7.5,emavolhl252,1Y,2025-05-06,2026-05-06,emavolhl252,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,20,2.0,True,10,250,2.0,1.6,252,252,0.5937458173545038,0.1800638543919397,2.6807520875333473,-0.11599150557566273,5.118873269277429,1.5937458173545038,0.8461538461538461,0.0056187802784903275,0.0,1.2141792222418188,1.4752615256826436,13.145745426917026,0.013145745426917026
V7.5,emavolhl252,3Y,2023-05-08,2026-05-06,emavolhl252,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,20,2.0,True,10,250,2.0,1.6,252,752,0.3741012865318716,0.17593523904455255,1.8954208408602438,-0.12120883568533602,3.0864192731217757,2.581460386068157,0.7567567567567568,0.03009678828485406,0.02925531914893617,1.135864362969739,1.4869401010449577,14.420286312461164,0.04303196550385237
V7.5,emavolhl252,5Y,2021-05-06,2026-05-06,emavolhl252,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,20,2.0,True,10,250,2.0,1.6,252,1256,0.2775015612016871,0.1628187323040593,1.586264072272654,-0.12120883568533602,2.2894499368189174,3.389369530250219,0.7213114754098361,0.1288697856676213,0.041401273885350316,0.9668035346116897,1.4869401010449577,13.856389440768762,0.0690620045143078
V7.5,emavolhl252,10Y,2016-05-06,2026-05-06,emavolhl252,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,20,2.0,True,10,250,2.0,1.6,252,2514,0.31139423654550624,0.15639080827965499,1.8125452885238822,-0.1393224820646315,2.2350609315232477,14.946156775150888,0.7107438016528925,0.11717967017019901,0.049323786793953855,1.0063429507156338,1.6987720786624845,14.790732689839547,0.14755516659625645
V7.6,emavolhl63,full_common,2008-12-15,2026-05-06,emavolhl63,"(160, 260, 390)",0.04,1.05,0.0,0.001,0.25,0.75,100,0.16,0.25,40,20,2.0,True,10,250,2.0,1.6,63,4374,0.2036822733074204,0.14459134485556951,1.3549089755846195,-0.13538586633905336,1.5044574357365268,24.972150131675818,0.6190476190476191,0.17976690611549556,0.038866026520347506,0.9112109754283565,1.7147974201854606,14.988824305498651,0.2601631647311552
V7.6,emavolhl63,1Y,2025-05-06,2026-05-06,emavolhl63,"(160, 260, 390)",0.04,1.05,0.0,0.001,0.25,0.75,100,0.16,0.25,40,20,2.0,True,10,250,2.0,1.6,63,252,0.6289447852490004,0.1819179705351105,2.775587943360068,-0.12030103631756595,5.228091166137062,1.6289447852490004,0.8461538461538461,0.003935256831388708,0.0,1.232221414885431,1.5402631018215573,12.760779327732994,0.012760779327732995
V7.6,emavolhl63,3Y,2023-05-08,2026-05-06,emavolhl63,"(160, 260, 390)",0.04,1.05,0.0,0.001,0.25,0.75,100,0.16,0.25,40,20,2.0,True,10,250,2.0,1.6,63,752,0.42153989104701717,0.17952517569357493,2.0503042956092403,-0.12030103631756606,3.504042059407139,2.8566195697363947,0.7567567567567568,0.034758636235063485,0.02925531914893617,1.1125580818184297,1.5402631018215573,13.273434579902087,0.03960961430193004
V7.6,emavolhl63,5Y,2021-05-06,2026-05-06,emavolhl63,"(160, 260, 390)",0.04,1.05,0.0,0.001,0.25,0.75,100,0.16,0.25,40,20,2.0,True,10,250,2.0,1.6,63,1256,0.2882901132963056,0.16506511669670115,1.617860392195503,-0.12030103631756572,2.3964059007379555,3.5344522659793496,0.6721311475409836,0.15010255813869552,0.041401273885350316,0.9316787760497778,1.5402631018215573,12.905356869409529,0.06432193741261258
V7.6,emavolhl63,10Y,2016-05-06,2026-05-06,emavolhl63,"(160, 260, 390)",0.04,1.05,0.0,0.001,0.25,0.75,100,0.16,0.25,40,20,2.0,True,10,250,2.0,1.6,63,2514,0.3182406856113884,0.15970230625397752,1.8108163367405814,-0.12191566339956261,2.6103346915186463,15.743094303472303,0.6859504132231405,0.14652146923348128,0.049323786793953855,0.9445489127890851,1.7147974201854606,14.424215310266169,0.14389871940479823
V7.6,emavolhl126,full_common,2008-12-15,2026-05-06,emavolhl126,"(160, 260, 390)",0.04,1.05,0.0,0.001,0.25,0.75,100,0.16,0.25,40,20,2.0,True,10,250,2.0,1.6,126,4374,0.20564678232891476,0.14490324033836288,1.3635664057992363,-0.13538586633905347,1.5189678796596346,25.689090559327532,0.6190476190476191,0.1798801171083142,0.038866026520347506,0.9141500623632013,1.6540217367381533,14.917431589300083,0.25892399115713716
