family,source,scale,tested,robust_cells,best_score,median_score,best_10y_ann,best_5y_ann,best_3y_ann,best_10y_dd,best_5y_dd,best_3y_dd
credit_below_ma,HYG/LQD,0.5,16,0,-0.287834066291187,-0.5939636070882024,-3.477463545807005,0.1590523634465555,0.5636513356891442,1.0155733752057916,1.3575589500843481,1.3575589500843481
vix_rel,^VIX,0.0,12,0,-0.308330254558585,-0.7811189435165942,-1.839964569038898,-3.10661515304502,-2.8832543606795724,0.5872479037315905,0.7642534997519324,4.92837103121635
combo_vix_credit,^VIX|HYG/LQD,0.75,3,0,-0.3129690278037311,-0.3671026677690899,-3.17562387234096,-2.8457130870705534,-2.699681794485805,0.4322662491303202,0.9896459192433529,0.9896459192433209
qqq_spy_below_ma,QQQ/SPY,0.5,12,0,-0.3996118927154514,-0.6709467859862885,-3.687965132589291,-4.2912885589519085,-5.549806892121275,0.21916236595675898,-0.29156608103059156,2.330040840468362
credit_below_ma,HYG/LQD,0.25,16,0,-0.47371656088055775,-0.9403903943662959,-5.227207419335002,0.21839312788642928,0.8094177554574671,0.0,1.5154686447007233,1.9723137765101928
rates_below_ma,TLT,0.5,12,0,-0.5018746717886385,-0.7034667735703254,-4.537556117515695,-4.008065267305504,-4.845458249434294,1.6828237109243407,1.5483667447181002,2.59192318053344
usd_above_ma,UUP,0.5,12,0,-0.5522019554016167,-0.8187681339807958,-6.153493454709281,-7.515549850996514,-7.23849053845764,1.2877828606018262,1.36740452455515,3.617380667342008
combo_vix_credit,^VIX|HYG/LQD,0.5,3,0,-0.6494847369273411,-0.761376155057401,-6.3159797863437745,-5.668084714236297,-5.390016382531403,0.8620242696555138,1.3190695146315772,1.3190695146315097
qqq_spy_below_ma,QQQ/SPY,0.25,12,0,-0.6610240805369617,-1.0827727523371986,-5.528613066391763,-6.447157836158301,-8.301500799624861,-2.0455900175522235,-2.556318464539409,0.7005741410795796
credit_below_ma,HYG/LQD,0.0,16,0,-0.6937755657913193,-1.3278975714315528,-6.982729898274599,0.2643909706199672,1.031226422607645,-0.7528235032029933,1.5154686447007233,2.345440608750504
rates_below_ma,TLT,0.25,12,0,-0.8079366444104964,-1.1363519217494478,-6.802399116095103,-6.022978793874678,-7.262053869821905,1.2397201013726988,0.9675655200506608,2.591923180533474
qqq_spy_below_ma,QQQ/SPY,0.0,12,0,-0.9543944269984092,-1.5292136689842146,-7.366038313525781,-8.607409936881536,-11.035751951070381,-4.296933063115626,-4.807661510102912,0.20730019366168584
usd_above_ma,UUP,0.25,12,0,-0.958840915865676,-1.403723617173255,-9.204344980848923,-11.237745756261573,-10.892233906276136,-2.493399418347197,-0.08032581359455016,4.9972845511425446
combo_vix_credit,^VIX|HYG/LQD,0.25,3,0,-1.0247389068456267,-1.1990031447915142,-9.419547619332302,-8.465583862490698,-8.06927715741914,0.3411083000225954,-0.1696201469646219,1.515660061228818
rates_below_ma,TLT,0.0,12,0,-1.1522661832776375,-1.613705023881316,-9.062653931209486,-8.043090150451569,-9.672711272578493,0.24584879846167773,-0.26487964852551826,2.59192318053344
combo_vix_credit,^VIX|HYG/LQD,0.0,3,0,-1.4547461546389007,-1.694153167268524,-12.484903754377097,-11.236756719503836,-10.735799600508344,-2.638722874655997,-2.278840870880517,0.17609514777602264
usd_above_ma,UUP,0.0,12,0,-1.4720430408541607,-2.0865472689283244,-12.234319501115488,-14.929066939457034,-14.558560287280464,-5.851613103194596,-5.0564922704167135,5.21669527842985
