axis,param,bias_n,window,cagr,sharpe,max_dd,mom_day
mom_day,29,60.0,last_10y,28.892697844409,1.2000376520068972,-22.220780566233415,
mom_day,29,60.0,full_common,22.261538643306487,0.9521545210844822,-35.445806589806054,
mom_day,30,60.0,last_3y,37.504267969906536,1.4418239831108763,-18.652393096957436,
mom_day,30,60.0,last_5y,33.532753915706536,1.3555006537838619,-18.65239309695745,
mom_day,30,60.0,last_10y,27.218868072046675,1.1400543978806081,-22.944420062957256,
mom_day,30,60.0,full_common,21.032582333256823,0.9065560937144033,-38.5315271198423,
mom_day,31,60.0,last_3y,40.02941408896567,1.5294661680667023,-16.847137916260955,
mom_day,31,60.0,last_5y,33.6770794166612,1.3584426790375534,-17.888720068839138,
mom_day,31,60.0,last_10y,26.662799585679853,1.1122482930588622,-23.122932765326016,
mom_day,31,60.0,full_common,20.439911039037018,0.8798896570627868,-39.3351063217076,
mom_day,32,60.0,last_3y,38.001363496186634,1.4642882658392584,-15.897946399862944,
mom_day,32,60.0,last_5y,31.943498861076304,1.299144355002364,-19.699986693241367,
mom_day,32,60.0,last_10y,24.69542506127034,1.0403629337117584,-20.189557022973457,
mom_day,32,60.0,full_common,18.91073549570801,0.8186776788170356,-42.49159939932448,
mom_day,33,60.0,last_3y,37.85261042771122,1.4510562969798801,-17.157272786205237,
mom_day,33,60.0,last_5y,29.554744931671095,1.2081207906766802,-25.19937387825627,
mom_day,33,60.0,last_10y,21.231411699727197,0.9009856694455479,-25.19937387825621,
mom_day,33,60.0,full_common,16.65474809800358,0.7211296510762604,-44.86690766133655,
mom_day,34,60.0,last_3y,38.483340404408665,1.465186495419574,-16.903824533866427,
mom_day,34,60.0,last_5y,27.098035270049504,1.1090032896024702,-28.777016504285662,
mom_day,34,60.0,last_10y,18.699801885554514,0.7947273888844297,-28.77701650428565,
mom_day,34,60.0,full_common,14.77878764178977,0.6394841283678024,-46.53075572809113,
mom_day,35,60.0,last_3y,37.770805181225576,1.4408505727188077,-20.397992544457903,
mom_day,35,60.0,last_5y,27.38827345692567,1.1232445817210637,-29.1808300018858,
mom_day,35,60.0,last_10y,17.388858312778808,0.7420636748300339,-29.18083000188581,
mom_day,35,60.0,full_common,13.42034290904881,0.5783400015017417,-46.97569192938622,
bias_n,40,,last_3y,23.291264765258155,0.9730221360882543,-26.360792768025338,20.0
bias_n,40,,last_5y,28.148605419903163,1.1723753575392146,-26.36079276802527,20.0
bias_n,40,,last_10y,24.150271554830205,1.032676015597203,-26.360792768025348,20.0
bias_n,40,,full_common,22.160179921431734,0.9551042590832826,-45.6674610487435,20.0
bias_n,45,,last_3y,28.028721319613847,1.1303665446031472,-21.78209550932749,20.0
bias_n,45,,last_5y,30.16416251668721,1.2356170197576475,-21.782095509327416,20.0
bias_n,45,,last_10y,25.835271272785842,1.0875677695367278,-22.51610733357246,20.0
bias_n,45,,full_common,23.67904120620421,1.007862387599692,-46.112456817486766,20.0
bias_n,50,,last_3y,29.162509403762748,1.163580697838634,-21.169649547025273,20.0
bias_n,50,,last_5y,30.212926268524654,1.2323798540316755,-21.169649547025248,20.0
bias_n,50,,last_10y,29.298624914623495,1.2154954957250557,-21.169649547025298,20.0
bias_n,50,,full_common,26.385333671420284,1.1093326655308913,-46.3151589238619,20.0
bias_n,55,,last_3y,24.38745987777353,0.9958569238928776,-22.81060971711539,20.0
bias_n,55,,last_5y,27.48481122313091,1.1336909878495365,-22.810609717115383,20.0
bias_n,55,,last_10y,30.56628715733243,1.269187360620977,-22.81060971711531,20.0
