rule,full_annual,full_vol,full_sharpe,full_max_dd,full_calmar,full_total_return,full_annual_delta,full_max_dd_delta,full_sharpe_delta,last_10y_annual,last_10y_vol,last_10y_sharpe,last_10y_max_dd,last_10y_calmar,last_10y_total_return,last_10y_annual_delta,last_10y_max_dd_delta,last_10y_sharpe_delta,last_5y_annual,last_5y_vol,last_5y_sharpe,last_5y_max_dd,last_5y_calmar,last_5y_total_return,last_5y_annual_delta,last_5y_max_dd_delta,last_5y_sharpe_delta,last_3y_annual,last_3y_vol,last_3y_sharpe,last_3y_max_dd,last_3y_calmar,last_3y_total_return,last_3y_annual_delta,last_3y_max_dd_delta,last_3y_sharpe_delta,last_1y_annual,last_1y_vol,last_1y_sharpe,last_1y_max_dd,last_1y_calmar,last_1y_total_return,last_1y_annual_delta,last_1y_max_dd_delta,last_1y_sharpe_delta,ma,days,scale,robust_pass,ridge_score
zz2000_dense:ma33:days5:scale0.50,19.606011193736173,16.01387115695315,1.2344396677744447,-32.47080884957052,0.6038042133340789,52602.864402758816,-0.3416756873364726,0.0,-0.0026282086314384223,23.534447986903494,18.891505493867715,1.254088202737709,-23.86291949914713,0.9862350659878237,726.9968135120985,-0.37834269531293785,0.7035790037856131,0.013998257774907374,31.335045911891115,18.799751781155372,1.6000176586127852,-14.069246779555733,2.2272013848974925,290.09816469702446,0.330382352642669,0.8301463865710623,0.06070087395520196,34.40810243363701,19.3300425534832,1.6865334823248703,-11.879186573843247,2.8965032428567232,142.8646197103095,0.7693013661991301,1.2753593865055048,0.10820399486820942,77.52741665387867,20.969105995572168,2.943222376599195,-9.164071086713122,8.459931827273225,77.45768858143873,-3.470486419076863,-0.8845812654577507,-0.05406710153431504,33,5,0.5,False,0.045038822473062776
zz2000_dense:ma33:days6:scale0.50,19.844834595148562,16.053332293416553,1.2446319653240627,-32.47080884957052,0.61115923188378,56414.58203411249,-0.10285228592408302,0.0,0.007564088918179612,24.306359993531878,19.005372851173036,1.2816990725072086,-24.358814390628737,0.9978465948196132,780.1271756605635,0.3935693113154457,0.20768411230400474,0.04160912754440704,31.939367870643977,18.878461372811227,1.619430666774067,-14.199232234056957,2.249372877643143,299.1447938447202,0.9347043113955316,0.7001609320698385,0.08011388211648374,35.06860992083733,19.38579822127216,1.7085660440638222,-12.204510931678069,2.8734137825886275,146.46352208719372,1.4298088533994502,0.9500350286706833,0.13023655660716127,80.50480315566088,21.070218533160705,3.012083895486275,-9.159820056601287,8.788906622422433,80.43185155880934,-0.4930999172946571,-0.8803302353459159,0.014794417352764988,33,6,0.5,True,0.0847977675359665
zz2000_dense:ma33:days7:scale0.50,19.919433595162218,16.04234382386881,1.2494074831579511,-32.47080884957052,0.6134566492459176,57659.16058750529,-0.028253285910427195,0.0,0.012339606752068022,24.586771440682597,18.971820938206232,1.2960290240888777,-25.09112645830822,0.9798990683633249,800.1755945202714,0.6739807584661648,-0.5246279553754789,0.0559390791260761,32.50837335889538,18.78633087524528,1.6504365855508554,-14.351494658503494,2.2651559389762683,307.8153558366398,1.5037097996469377,0.5478985076233016,0.11111980089327211,35.98656521094217,19.24363424883621,1.7566657471561407,-10.319872719557498,3.4871132802580944,151.52397402226353,2.3477641435042855,2.834673240791254,0.17833625969947975,80.95279652078209,21.063793180655345,3.0251684848424367,-9.119122945512192,8.877256837580143,80.8793569753628,-0.04510655217345061,-0.8396331242568209,0.027879006708926735,33,7,0.5,False,0.13248555953424243
zz2000_dense:ma33:days8:scale0.50,19.975256518435746,16.05537162476519,1.2515146192888964,-32.47080884957052,0.6151758217966274,58607.86253665847,0.027569637363100696,0.0,0.014446742883013286,24.35432420572381,18.96624611726874,1.2861431645131627,-25.16979982653882,0.9676010287552951,783.5276920177376,0.4415335235073776,-0.6033013236060789,0.046053219550361124,32.11010009883888,18.824910626389787,1.6308391894810688,-13.847034536560832,2.3189152893392015,301.730793290296,1.105436539590432,1.0523586295659637,0.0915224048234855,34.66976418341032,19.32902465376401,1.6973854689744565,-10.3732494364427,3.342227948516355,144.2861131495609,1.0309631159724404,2.781296523906052,0.11905598151779562,78.02252767340762,21.30224944963559,2.914111967803398,-9.118233061782831,8.556759532767675,77.9522659109244,-2.9753753995479144,-0.8387432405274602,-0.083177510330112,33,8,0.5,False,0.10878013419770174
zz2000_dense:ma33:days9:scale0.50,20.053643851098467,16.078629767631682,1.2541325399944718,-32.47080884957052,0.617589908031001,59965.63649152414,0.10595697002582227,0.0,0.017064663588588713,24.43355475437894,19.023071746803414,1.2863414637564166,-25.757613958817128,0.9485954247720625,789.1708015171588,0.5207640721625069,-1.1911154558843862,0.046251518793615,31.631516503561997,18.80909581685447,1.6120047290816752,-14.833626802938383,2.13241959797021,294.5155695254291,0.6268529443135513,0.06576636318841267,0.07268794442409199,34.884087836291044,19.31755995837016,1.7068548307096918,-10.403656887703349,3.3530601992,145.45456369156972,1.2452867688531626,2.7508890726454034,0.1285253432530309,78.62008722992724,21.271210678025902,2.934427108656309,-9.107939466313297,8.632038840476724,78.5491800924654,-2.3778158430283014,-0.8284496450579262,-0.06286236947720081,33,9,0.5,False,0.09633354703187405
zz2000_dense:ma33:days10:scale0.50,19.93833123891018,16.076349469030696,1.248114559922516,-32.47080884957052,0.6140386379433815,57978.643449575524,-0.009355642162464761,0.0,0.01104668351663296,24.08258656325446,19.014450827197766,1.271429979090645,-26.485671623880556,0.9092684869482646,764.417459956915,0.16979588103802712,-1.9191731209478142,0.031340034127843364,30.910104493329982,18.73199033648517,1.587360309354059,-15.12041360866232,2.044263159284341,283.8356189290185,-0.09455906591846386,-0.221020442535524,0.04804352469647566,33.44524554338073,19.4369256392062,1.6401385066546386,-10.871259442536896,3.07648306253429,137.68133639968383,-0.19355552405715315,2.283286517811856,0.061809019197977655,74.89310636055475,20.578987506400285,2.919816703685718,-8.997967065897194,8.32333635054121,74.82620192428388,-6.104796712400784,-0.7184772446418233,-0.07747277444779188,33,10,0.5,False,0.051644671367187214
zz2000_dense:ma34:days2:scale0.50,19.297700364930947,15.682124576796804,1.24025784352402,-32.47080884957052,0.5943091979732495,48049.811318403554,-0.6499865161416984,0.0,0.003189967118136794,23.574231628884768,18.034414687692827,1.3068442064351304,-23.78158752418682,0.9912808219766169,729.662880646298,-0.3385590533316645,0.7849109787459234,0.06675426147232888,31.40693574595246,17.875496779953835,1.6766691651266596,-12.636589799787302,2.48539647512188,291.1656700979754,0.402272186704014,2.2628033663394937,0.13735238046907638,35.23635660487621,18.394036807832606,1.7978403712716369,-10.404436628102708,3.386666463968045,147.38314955174957,1.5975555374383248,2.750109332246044,0.21951088381497597,73.64204325785751,19.648513653594765,3.0107922999338452,-8.575974650537233,8.587017366386954,73.57647032086743,-7.355859815098029,-0.29648482928186226,0.01350282180033524,34,2,0.5,False,0.11180337269661038
zz2000_dense:ma34:days3:scale0.50,19.89308931763596,15.813248988279371,1.2637499775465062,-32.47080884957052,0.6126453273706817,57216.63259431391,-0.05459756343668687,0.0,0.026682101140623082,24.64845310167687,18.37781406598482,1.33462264149805,-22.19978565601888,1.110301400364832,804.6403768995871,0.7356624194604393,2.366712846913863,0.09453269653524843,32.21570255312398,18.254466399952836,1.680493164800396,-13.086929976165296,2.4616699723920856,303.3369982417205,1.2110389938755368,1.8124631899615,0.14117638014281275,36.92097809127961,18.939324829224198,1.8193721232244702,-11.223760918896053,3.2895371131008626,156.7458232225133,3.282177023841726,1.9307850414526992,0.24104263576780927,85.81230562881912,20.927085597114647,3.1750538353226077,-8.7032873527224,9.85975783069795,85.73352483370901,4.81440255586358,-0.42379753146702903,0.17776435718909767,34,3,0.5,True,0.18556123765371585
zz2000_dense:ma34:days4:scale0.50,19.732978117368805,15.921441185838498,1.2475680051225693,-32.47080884957052,0.6077143999949914,54597.097258216476,-0.21470876370383962,0.0,0.010500128716686152,24.144778286095804,18.632408455395016,1.2963635611612283,-22.24621654283504,1.0853431296780325,768.7580240925507,0.23198760387937156,2.3202819600977023,0.056273616198426746,31.660456272373484,18.451799464619164,1.6407290761193147,-13.747936442586328,2.3029242537302106,294.9489053539435,0.6557927131250381,1.151456723540468,0.10141229146173147,34.99777775474471,19.010061537356723,1.7358457695063223,-11.084471916203253,3.157369879171695,146.0758886574346,1.3589766873068285,2.0700740441454997,0.1575162820496614,81.11923147244764,21.09301349910612,3.025766739202733,-9.168875746214711,8.847238605664058,81.04561045494007,0.12132839949209995,-0.8893859249593401,0.028477261069223214,34,4,0.5,True,0.11329070368415008
zz2000_dense:ma34:days5:scale0.50,19.57787044454571,16.00745279860365,1.2333491482087764,-32.47080884957052,0.6029375657146484,52170.52483198873,-0.36981643652693563,0.0,-0.0037187281971067243,23.538914956731325,18.874002331957453,1.255266475285655,-23.86291949914713,0.986422258918177,727.2957789754432,-0.3738757254851066,0.7035790037856131,0.015176530322853488,31.192533081386166,18.776323570766905,1.5957650491734512,-14.069246779555744,2.217071998958221,287.98885286101694,0.18786952213772068,0.8301463865710517,0.05644826451586793,34.16546572523453,19.292152975674764,1.6797148085653983,-11.879186573843226,2.8760778789739234,141.55141892327129,0.5266646577966512,1.2753593865055262,0.10138532110873744,77.52741665387867,20.969105995572175,2.9432223765991945,-9.164071086713122,8.459931827273225,77.45768858143873,-3.470486419076863,-0.8845812654577507,-0.05406710153431549,34,5,0.5,False,0.03847640098745684
zz2000_dense:ma34:days6:scale0.50,19.844405055966785,16.047637078261058,1.2449908742274594,-32.47080884957052,0.6111460034119003,56407.49177683167,-0.10328182510586004,0.0,0.007922997821576239,24.41177456801098,18.98999492513415,1.287205733463104,-24.358814390628723,1.0021741689284611,787.6163077278777,0.4989838857945479,0.20768411230401895,0.0471157885003024,31.764619206689716,18.852574232155465,1.614082529981275,-14.199232234057035,2.237065968292418,296.51176327296065,0.7599556474412701,0.7001609320697604,0.07476574532369185,34.771020787221765,19.343887576632333,1.6999754086336678,-12.204510931678092,2.8490302464287955,144.83768104282402,1.1322197197838832,0.9500350286706603,0.1216459211770069,80.50480315566104,21.070218533160737,3.012083895486278,-9.159820056601287,8.78890662242245,80.4318515588095,-0.49309991729450076,-0.8803302353459159,0.014794417352768097,34,6,0.5,True,0.08101346642127567
zz2000_dense:ma34:days7:scale0.50,19.9087860149991,16.03881223097158,1.249072715296925,-32.47080884957052,0.6131287368673735,57479.90562309295,-0.03890086607354348,0.0,0.012004838891041869,24.655220215669726,18.962889686396352,1.2995470830058773,-25.09112645830822,0.9826270756172385,805.1314206958614,0.7424295334532935,-0.5246279553754789,0.05945713804307573,32.14758129153525,18.77036367158236,1.636570113000232,-14.351494658503473,2.2400162531146077,302.30029254715305,1.1429177322868078,0.5478985076233229,0.09725332834264866,35.37091941384738,19.217915052854245,1.7341723372216886,-10.319872719557477,3.427456944000382,148.1225066284958,1.7321183464095,2.8346732407912754,0.1558428497650277,80.95279652078207,21.06379318065534,3.0251684848424354,-9.119122945512192,8.877256837580141,80.87935697536277,-0.04510655217346482,-0.8396331242568209,0.027879006708925402,34,7,0.5,False,0.11936497764545198
zz2000_dense:ma34:days8:scale0.50,19.910524069826185,16.052109139703635,1.2482606335476651,-32.47080884957052,0.6131822635545322,57509.12930478255,-0.03716281124646059,0.0,0.011192757141782028,24.226327232684607,18.958254642729617,1.2809622082910166,-25.16979982653882,0.9625156894231862,774.4793128669249,0.3135365504681751,-0.6033013236060789,0.04087226332821503,31.72516099858491,18.808574368651808,1.6159528351734989,-13.847034536560798,2.291115900290411,295.9191525218636,0.7204974393364658,1.0523586295659975,0.0766360505159156,34.01735544217779,19.302711932341644,1.673238041537149,-10.373249436442656,3.2793345663385023,140.75214672713608,0.37855437473990605,2.7812965239060965,0.09490855408048815,78.02252767340757,21.30224944963556,2.9141119678033998,-9.11823306178281,8.556759532767689,77.95226591092432,-2.9753753995479713,-0.8387432405274389,-0.08317751033011023,34,8,0.5,False,0.0900404396437968
zz2000_dense:ma34:days9:scale0.50,20.008713824011302,16.078143534448884,1.2517577774316566,-32.47080884957052,0.6162062028299597,59183.7010597527,0.06102694293865696,0.0,0.0146899010257735,24.377488565524775,19.023288578067802,1.283862729070947,-25.757613958817128,0.9464187406683328,785.1742047472192,0.46469788330834305,-1.1911154558843862,0.043772784108145446,31.50362584504096,18.806757091265027,1.60680406777151,-14.833626802938394,2.123797926397906,292.6051221006256,0.49896228579251556,0.06576636318840201,0.06748728311392682,34.6516222953392,19.311829140982383,1.6980021278438218,-10.403656887703328,3.330715600232445,144.18737773233082,1.0128212279013198,2.7508890726454247,0.11967264038716086,78.62008722992691,21.271210678025856,2.934427108656305,-9.107939466313287,8.6320388404767,78.54918009246508,-2.3778158430286283,-0.8284496450579155,-0.0628623694772048,34,9,0.5,False,0.09068164637688637
zz2000_dense:ma34:days10:scale0.50,19.823814325000843,16.097996838524956,1.2405348652901367,-32.47080884957052,0.610511872889888,56068.61927322457,-0.12387255607180236,0.0,0.0034669888842535634,23.774607070550214,19.080587380997454,1.2542074616881658,-26.485671623880556,0.897640332031983,743.2088305516148,-0.13818361166621784,-1.9191731209478142,0.01411751672536421,30.42382960326502,18.867771655856092,1.5568586534691558,-15.346956266352796,1.9824015313034604,276.7680981747074,-0.5808339559834259,-0.44756310022600054,0.017541868811572492,33.29766917258172,19.436615788401358,1.634356651249229,-10.871259442536962,3.0629081523245514,136.89347722954724,-0.34113189485616147,2.2832865178117903,0.056027163792568,74.89310636055461,20.57898750640025,2.919816703685718,-8.99796706589716,8.323336350541226,74.82620192428375,-6.104796712400926,-0.7184772446417895,-0.07747277444779188,34,10,0.5,False,0.021705479477076406
zz2000_dense:ma35:days2:scale0.50,19.22856793883101,15.672837649629537,1.2370815850420738,-32.47080884957052,0.5921801340986719,47082.61239391091,-0.7191189422416358,0.0,1.3708636190656875e-05,23.205592582606727,18.031643463129377,1.2898384156568,-23.781587524186843,0.9757797943053925,705.252385507362,-0.7071980996097054,0.7849109787458985,0.04974847069399835,30.78247457490926,17.92310299839018,1.645042218744691,-12.636589799787313,2.4359795690627988,281.9704692747226,-0.2221889843391871,2.262803366339483,0.10572543408710766,35.103204959267245,18.39584194089455,1.7921050347738061,-10.404436628102731,3.3738688805554657,146.65299347492805,1.4644038918293631,2.750109332246021,0.2137755473171452,73.76178992900199,19.64648691176505,3.0147275119528345,-8.573042992934543,8.603921616839276,73.69608981233442,-7.2361131439535455,-0.2935531716791715,0.017438033819324517,35,2,0.5,False,0.08809454707482577
zz2000_dense:ma35:days3:scale0.50,19.939794333709116,15.836329376777488,1.2646709463061816,-32.47080884957052,0.6140836967161923,58003.449949183814,-0.007892547363528735,0.0,0.027603069900298483,24.87051328379124,18.449402555614306,1.3401420305588359,-22.199785656018868,1.1203042078493346,820.8795523664568,0.9577226015748082,2.366712846913874,0.10005208559603429,32.84487260856528,18.41424946067047,1.6942595299162009,-13.08692997616535,2.5097461871030258,313.0134160165961,1.8402090493168366,1.812463189961445,0.15494274525861762,36.98416871194201,18.93802245833676,1.8220218509720938,-11.22376091889602,3.295167188538066,157.10154203189742,3.3453676445041296,1.930785041452733,0.24369236351543289,86.20093025334006,20.92343311912907,3.1859472297519345,-8.7032873527224,9.90441045547879,86.12171852502011,5.203027180384524,-0.42379753146702903,0.18865775161842446,35,3,0.5,True,0.19717334645135623
zz2000_dense:ma35:days4:scale0.50,19.72341455580475,15.927551730537658,1.2466291686013073,-32.47080884957052,0.6074198720203925,54444.36705559995,-0.22427232526789354,0.0,0.009561292195424231,24.038165540703773,18.624565464561314,1.2920460377738876,-22.24621654283504,1.0805507307014808,761.3291304131754,0.12537485848734065,2.3202819600977023,0.05195609281108604,31.673532922277168,18.45134377492915,1.6413163791723284,-13.747936442586251,2.3038754255630502,295.1448361942112,0.6688693630287226,1.1514567235405444,0.10199959451474516,35.19847660554423,19.005620425099984,1.744347717588863,-11.084471916203253,3.175476186113223,147.17528269422746,1.5596755381063474,2.0700740441454997,0.16601823013220218,81.48078432643709,21.089879344160156,3.036009356071457,-9.168875746214711,8.886671232301921,81.40676873016153,0.4828812534815512,-0.8893859249593401,0.03871987793794718,35,4,0.5,True,0.11455819709559495
zz2000_dense:ma35:days5:scale0.50,19.58050923846104,15.955604811230236,1.2369995738539081,-32.47080884957052,0.6030188323664142,52210.919027108845,-0.3671776426116047,0.0,-6.83025519749858e-05,23.548462536565594,18.71895629065514,1.2645925033501122,-23.86291949914713,0.9868223599969496,727.9351057705228,-0.3643281456508376,0.7035790037856131,0.024502558387310636,31.51550430281207,18.491647687833577,1.6313993285864294,-13.864637536538726,2.273085338131374,292.782251739974,0.5108407435636231,1.0347556295880693,0.09208254392884618,34.42584972835725,18.98277344103488,1.7147951326547426,-11.524259944157878,2.9872503653311924,142.96085816830265,0.7870486609193676,1.6302860161908743,0.1364656451980817,78.38703836003059,20.9556194613621,2.9689289193294797,-9.164071086713122,8.553735301517142,78.31638308234103,-2.6108647129249505,-0.8845812654577507,-0.028360558804030322,35,5,0.5,False,0.06963739089112397
zz2000_dense:ma35:days6:scale0.50,19.782460431453195,15.995318318004736,1.2452185977298216,-32.47080884957052,0.6092383014879795,55393.98999391255,-0.16522644961944977,0.0,0.008150721323938459,24.186719203697837,18.83429161260128,1.2863658510540361,-24.358814390628723,0.9929349932976584,771.6962822207622,0.27392852148140534,0.20768411230401895,0.04627590609123455,31.887271247621406,18.563736780256534,1.6416016991326234,-13.759096816081318,2.317541018415707,298.35836793140123,0.8826076883729606,1.1402963500454781,0.10228491447504018,34.70310964714971,19.039958394990816,1.7214752258737254,-11.845573678809362,2.929626760857549,144.4676619311466,1.0643085797118275,1.3089722815393898,0.14314573841706446,81.60698285813723,21.05486436415163,3.044165838694285,-9.159820056601287,8.90923428122639,81.53282941977164,0.6090797851816916,-0.8803302353459159,0.046876360560775154,35,6,0.5,True,0.09742395377124255
