rule,overlay_days,total_days,final_holding
broad_low_amount:cyb:ma60:lt1.10:scale0.5,938,8545,0.399606
broad_low_amount:broad_amount_sum:ma10:lt0.70:scale0.0,0,8545,0.399606
broad_low_amount:broad_amount_sum:ma10:lt0.70:scale0.5,35,8545,0.399606
broad_low_amount:broad_amount_sum:ma10:lt0.80:scale0.0,0,8545,0.399606
broad_low_amount:broad_amount_sum:ma10:lt0.80:scale0.5,179,8545,0.399606
broad_low_amount:broad_amount_sum:ma10:lt0.90:scale0.0,0,8545,0.399606
broad_low_amount:broad_amount_sum:ma10:lt0.90:scale0.5,544,8545,0.399606
broad_low_amount:broad_amount_sum:ma10:lt1.00:scale0.0,0,8545,0.399606
broad_low_amount:broad_amount_sum:ma10:lt1.00:scale0.5,1164,8545,0.399606
broad_low_amount:broad_amount_sum:ma10:lt1.10:scale0.0,0,8545,0.399606
broad_low_amount:broad_amount_sum:ma10:lt1.10:scale0.5,1724,8545,0.399606
broad_low_amount:broad_amount_sum:ma20:lt0.70:scale0.0,0,8545,0.399606
broad_low_amount:broad_amount_sum:ma20:lt0.70:scale0.5,27,8545,0.399606
broad_low_amount:broad_amount_sum:ma20:lt0.80:scale0.0,0,8545,0.399606
broad_low_amount:broad_amount_sum:ma20:lt0.80:scale0.5,149,8545,0.399606
broad_low_amount:broad_amount_sum:ma20:lt0.90:scale0.0,0,8545,0.399606
broad_low_amount:broad_amount_sum:ma20:lt0.90:scale0.5,439,8545,0.399606
broad_low_amount:broad_amount_sum:ma20:lt1.00:scale0.0,0,8545,0.399606
broad_low_amount:broad_amount_sum:ma20:lt1.00:scale0.5,897,8545,0.399606
broad_low_amount:broad_amount_sum:ma20:lt1.10:scale0.0,0,8545,0.399606
broad_low_amount:broad_amount_sum:ma20:lt1.10:scale0.5,1403,8545,0.399606
broad_low_amount:broad_amount_sum:ma60:lt0.70:scale0.0,0,8545,0.399606
broad_low_amount:broad_amount_sum:ma60:lt0.70:scale0.5,87,8545,0.399606
broad_low_amount:broad_amount_sum:ma60:lt0.80:scale0.0,0,8545,0.399606
broad_low_amount:broad_amount_sum:ma60:lt0.80:scale0.5,245,8545,0.399606
broad_low_amount:broad_amount_sum:ma60:lt0.90:scale0.0,0,8545,0.399606
broad_low_amount:broad_amount_sum:ma60:lt0.90:scale0.5,525,8545,0.399606
broad_low_amount:broad_amount_sum:ma60:lt1.00:scale0.0,0,8545,0.399606
broad_low_amount:broad_amount_sum:ma60:lt1.00:scale0.5,825,8545,0.399606
broad_low_amount:broad_amount_sum:ma60:lt1.10:scale0.0,0,8545,cash
broad_low_amount:broad_amount_sum:ma60:lt1.10:scale0.5,1144,8545,0.399606
