scope_new,window,ma,days,start_new,end_new,n_days_new,annual_new,vol_new,sharpe_new,max_dd_new,calmar_new,total_return_new,annual_delta_new,sharpe_delta_new,max_dd_delta_new,signal_days_new,signal_days_pct_new,defense_days_new,defense_days_pct_new,switch_count_new,scope_old,start_old,end_old,n_days_old,annual_old,vol_old,sharpe_old,max_dd_old,calmar_old,total_return_old,annual_delta_old,sharpe_delta_old,max_dd_delta_old,signal_days_old,signal_days_pct_old,defense_days_old,defense_days_pct_old,switch_count_old
microcap_v1_0_costed_broad_own_volume_only_half_official_logic,last_10y,35,13,2016-05-03,2026-04-30,2426,30.70863322653996,13.275405457426384,2.160906606946318,-11.380932944868682,2.698252715774549,1351.8717368797666,-1.1281852754333492,-0.016469237356110167,0.8206794962810182,132,5.441055234954658,132,5.441055234954658,36,microcap_v1_0_costed_broad_own_volume_only_half,2016-05-03,2026-04-30,2426,30.70863322653996,13.278142372300824,2.160461196943247,-11.380932944868682,2.698252715774549,1351.8717368797666,-1.1281852754333492,-0.0164658426869293,0.8206794962810182,132,5.441055234954658,132,5.441055234954658,36
microcap_v1_0_costed_broad_own_volume_only_half_official_logic,last_5y,35,13,2021-04-30,2026-04-30,1208,31.29684384364304,15.851924914566467,1.8716813701305703,-11.24806608604947,2.782419982618992,290.11306200071056,-1.0999985402025558,-0.006030967006237731,0.9535463551002419,62,5.132450331125828,62,5.132450331125828,24,microcap_v1_0_costed_broad_own_volume_only_half,2021-04-30,2026-04-30,1208,31.29684384364304,15.858490218188006,1.8709065071827984,-11.24806608604947,2.782419982618992,290.11306200071056,-1.0999985402025558,-0.0060284702282353,0.953546355100242,62,5.132450331125828,62,5.132450331125828,24
microcap_v1_0_costed_broad_own_volume_only_half_official_logic,last_3y,35,13,2023-05-04,2026-04-30,723,26.788804640176387,14.879393131861557,1.7376987182790722,-11.24806608604947,2.381636490685406,103.32201098927132,-0.7698687027406947,0.022833664819498223,0.9535463551002756,55,7.607192254495159,55,7.607192254495159,18,microcap_v1_0_costed_broad_own_volume_only_half,2023-05-04,2026-04-30,723,26.788804640176387,14.889693855235729,1.736496574435238,-11.24806608604947,2.381636490685406,103.32201098927132,-0.7698687027406947,0.0228178684393169,0.9535463551002756,55,7.607192254495159,55,7.607192254495159,18
microcap_v1_0_costed_broad_own_volume_only_half_official_logic,full,40,13,2010-02-02,2026-04-30,3940,30.238897077254357,11.46053189294005,2.4527951964052535,-12.201612441149724,2.478270574737664,7197.629190731405,-0.81668060192046,-0.0015258052523412502,-2.3092638912203256e-14,204,5.177664974619289,204,5.177664974619289,44,microcap_v1_0_costed_broad_own_volume_only_half,2010-02-02,2026-04-30,3940,30.23889707725436,11.46198655206794,2.4524839082262724,-12.201612441149724,2.478270574737664,7197.629190731405,-0.81668060192046,-0.0015256116099453,-2.3092638912203256e-14,204,5.177664974619289,204,5.177664974619289,44
microcap_v1_0_costed_broad_own_volume_only_half_official_logic,last_10y,40,13,2016-05-03,2026-04-30,2426,31.137706819486265,13.260578283789654,2.1888477742615597,-12.201612441149756,2.5519337685628183,1400.1950486143894,-0.6991116824870431,0.01147192995913171,-5.5067062021407764e-14,147,6.0593569661995055,147,6.0593569661995055,36,microcap_v1_0_costed_broad_own_volume_only_half,2016-05-03,2026-04-30,2426,31.137706819486265,13.263312141829994,2.188396604974224,-12.201612441149756,2.5519337685628183,1400.1950486143894,-0.6991116824870431,0.0114695653440479,-5.506706202140776e-14,147,6.0593569661995055,147,6.0593569661995055,36
microcap_v1_0_costed_broad_own_volume_only_half_official_logic,last_5y,40,13,2021-04-30,2026-04-30,1208,31.7939177598217,15.815863502244312,1.90052923199173,-12.201612441149734,2.605714442510667,297.5527638174408,-0.6029246240238955,0.022816894854921888,-2.3092638912203256e-14,80,6.622516556291391,80,6.622516556291391,24,microcap_v1_0_costed_broad_own_volume_only_half,2021-04-30,2026-04-30,1208,31.7939177598217,15.82241387051117,1.899742426231664,-12.201612441149734,2.605714442510667,297.5527638174408,-0.6029246240238955,0.02280744882063,-2.3092638912203256e-14,80,6.622516556291391,80,6.622516556291391,24
microcap_v1_0_costed_broad_own_volume_only_half_official_logic,last_3y,40,13,2023-05-04,2026-04-30,723,26.215972870809566,14.795708604428064,1.714778480471693,-12.201612441149734,2.1485662650943276,100.58794210848858,-1.3427004721075164,-8.657298788095069e-05,1.0658141036401503e-14,66,9.12863070539419,66,9.12863070539419,18,microcap_v1_0_costed_broad_own_volume_only_half,2023-05-04,2026-04-30,723,26.21597287080957,14.805951394581433,1.7135921928994262,-12.201612441149734,2.148566265094328,100.58794210848858,-1.3427004721075164,-8.651309649487793e-05,1.0658141036401504e-14,66,9.12863070539419,66,9.12863070539419,18
microcap_v1_0_costed_broad_own_volume_only_half_official_logic,full,45,13,2010-02-02,2026-04-30,3940,30.919993772783183,11.394321790400028,2.513961114773594,-11.380932944868672,2.716824176239796,7842.653600360174,-0.1355839063916342,0.05964011311599915,0.8206794962810289,207,5.253807106598985,207,5.253807106598985,46,microcap_v1_0_costed_broad_own_volume_only_half,2010-02-02,2026-04-30,3940,30.919993772783183,11.395768045630884,2.513642063929645,-11.380932944868672,2.716824176239796,7842.653600360174,-0.1355839063916342,0.0596325440934273,0.8206794962810289,207,5.253807106598985,207,5.253807106598985,46
microcap_v1_0_costed_broad_own_volume_only_half_official_logic,last_10y,45,13,2016-05-03,2026-04-30,2426,32.16331013593605,13.161580403663892,2.2657871696845198,-11.380932944868682,2.826069733627375,1521.6179054910615,0.3264916339627426,0.08841132538209173,0.8206794962810182,163,6.718878812860677,163,6.718878812860677,38,microcap_v1_0_costed_broad_own_volume_only_half,2016-05-03,2026-04-30,2426,32.16331013593605,13.16429385187408,2.2653201415089548,-11.380932944868682,2.826069733627375,1521.6179054910615,0.3264916339627426,0.0883931018787786,0.8206794962810182,163,6.718878812860677,163,6.718878812860677,38
microcap_v1_0_costed_broad_own_volume_only_half_official_logic,last_5y,45,13,2021-04-30,2026-04-30,1208,33.7197511634032,15.659159246322291,2.014661086277692,-10.776287913416539,3.1290692522628247,327.45600507091706,1.3229087795576078,0.13694874914088384,1.4253245277331725,93,7.698675496688742,93,7.698675496688742,26,microcap_v1_0_costed_broad_own_volume_only_half,2021-04-30,2026-04-30,1208,33.7197511634032,15.665644713258589,2.0138270307311723,-10.77628791341654,3.1290692522628247,327.45600507091706,1.3229087795576078,0.1368920533201387,1.4253245277331723,93,7.698675496688742,93,7.698675496688742,26
