window,case,ma,days,is_current_param,start,end,n_days,annual,vol,sharpe,max_dd,total_return,annual_delta,sharpe_delta,max_dd_delta,defense_days_pct,switch_count
last_3y,volume_only,40,16,True,2023-04-17,2026-04-17,727,38.28692401514184,21.361088925819054,1.6844883752642212,-15.707665516652902,164.50854644380385,3.562774871431394,0.15541444669753668,1.6643352008905339,5.226960110041266,16
last_5y,volume_plus_stirrer,40,16,True,2021-04-19,2026-04-17,1211,37.7257470182178,20.94305886097326,1.6929281763137987,-15.707665516652881,394.5603865312819,0.25992995269938746,0.02893663388124601,1.6643352008905197,1.8166804293971925,15
last_3y,volume_plus_stirrer,40,16,True,2023-04-17,2026-04-17,727,35.86005722199486,21.64590427850627,1.5800146580659684,-15.707665516652892,150.8224905561291,1.1359080782844089,0.050940729499283854,1.6643352008905445,0.9628610729023385,10
last_5y,volume_only,45,16,False,2021-04-19,2026-04-17,1211,37.50011169644352,20.666693930817917,1.7045167841875035,-15.836504205681113,390.52741577351543,0.03429463092510332,0.04052524175495087,1.5354965118622879,7.26672171758877,25
last_3y,volume_only,45,16,False,2023-04-17,2026-04-17,727,37.66647524330038,21.336627736418716,1.6642557940150045,-15.836504205681079,160.9633999318583,2.942326099589934,0.1351818654483199,1.5354965118623571,7.290233837689134,16
last_5y,volume_plus_stirrer,45,16,False,2021-04-19,2026-04-17,1211,37.48256286402953,20.947385439648116,1.6838598848700737,-15.707665516652902,390.21485650274474,0.016745798511117016,0.019868342437521003,1.6643352008904984,2.972749793559042,19
last_3y,volume_plus_stirrer,45,16,False,2023-04-17,2026-04-17,727,36.16369779990978,21.66750307402234,1.5894137974977371,-15.707665516652924,152.50836574486985,1.439548656199328,0.06033986893105259,1.6643352008905126,2.4759284731774414,10
last_5y,volume_only,50,16,False,2021-04-19,2026-04-17,1211,37.61943216910204,20.61539719803739,1.7126240068341008,-15.836504205681113,392.65684100453893,0.1536151035836255,0.048632464401548114,1.5354965118622879,8.175061932287365,27
last_3y,volume_only,50,16,False,2023-04-17,2026-04-17,727,37.42297891723538,21.27740184723321,1.6596340322597254,-15.836504205681145,159.5808032588721,2.6988297735249347,0.13056010369304083,1.5354965118622914,8.665749656121045,18
last_5y,volume_plus_stirrer,50,16,False,2021-04-19,2026-04-17,1211,37.73193132612877,20.9346765567826,1.6937614826563405,-15.707665516652858,394.67129605663536,0.26611426061035814,0.029769940223787872,1.6643352008905428,3.137902559867878,23
last_3y,volume_plus_stirrer,50,16,False,2023-04-17,2026-04-17,727,36.18278668923034,21.667688679123252,1.5900759201378476,-15.707665516652892,152.61460287420138,1.4586375455198919,0.06100199157116304,1.6643352008905445,2.613480055020633,12
last_5y,volume_only,55,16,False,2021-04-19,2026-04-17,1211,38.1371964687752,20.445113020490076,1.744274552551323,-15.707665516652913,401.98281725567205,0.6713794032567861,0.08028301011877037,1.6643352008904877,9.661436829066886,29
last_3y,volume_only,55,16,False,2023-04-17,2026-04-17,727,37.9851295183095,21.009157219882184,1.698337291058963,-15.707665516652868,162.78015632858973,3.2609803745990504,0.16926336249227836,1.6643352008905676,11.141678129298487,20
last_5y,volume_plus_stirrer,55,16,False,2021-04-19,2026-04-17,1211,37.4863328764959,20.90629103631437,1.6868930791537564,-15.707665516652924,390.28199011667823,0.02051581097748567,0.022901536721203763,1.664335200890477,3.7985136251032205,33
last_3y,volume_plus_stirrer,55,16,False,2023-04-17,2026-04-17,727,35.77889012804807,21.621899956976197,1.5786768942480236,-15.707665516652913,150.3731088037863,1.05474098433762,0.04960296568133904,1.6643352008905232,3.7138927097661623,22
last_5y,volume_only,60,16,False,2021-04-19,2026-04-17,1211,35.86556906363165,20.15029238123181,1.6812346363548754,-15.707665516652924,362.0905476564774,-1.6002480018867615,0.017243093922322705,1.664335200890477,10.982658959537572,33
last_3y,volume_only,60,16,False,2023-04-17,2026-04-17,727,37.28460991409774,20.98208703470946,1.6749959577687599,-15.707665516652924,158.79731075089748,2.5604607703872944,0.1459220292020753,1.6643352008905126,11.691884456671252,20
last_5y,volume_plus_stirrer,60,16,False,2021-04-19,2026-04-17,1211,37.183556386241335,20.834234450273655,1.6809909738459423,-15.707665516652913,384.9137332968546,-0.2822606792770799,0.016999431413389665,1.6643352008904877,3.8810900082576385,39
last_3y,volume_plus_stirrer,60,16,False,2023-04-17,2026-04-17,727,35.736778425443184,21.621720595725122,1.5771939613906165,-15.707665516652936,150.14016894464612,1.0126292817327354,0.04812003282393196,1.6643352008905001,3.851444291609354,22
last_5y,volume_only,65,16,False,2021-04-19,2026-04-17,1211,36.26902023514691,20.109025364498063,1.6996057492009191,-15.707665516652881,368.9837106465074,-1.196796830371504,0.03561420676836646,1.6643352008905197,11.312964492155244,33
last_3y,volume_only,65,16,False,2023-04-17,2026-04-17,727,37.188080824267814,21.06086906556734,1.6660438632381152,-15.707665516652902,158.2516647964225,2.4639316805573657,0.1369699346714306,1.6643352008905339,11.141678129298487,20
last_5y,volume_plus_stirrer,65,16,False,2021-04-19,2026-04-17,1211,37.36631470752847,20.783524949711214,1.6912451499754817,-15.707665516652947,388.1484001807406,-0.09950235798994811,0.027253607542929048,1.664335200890454,4.293971924029727,41
last_3y,volume_plus_stirrer,65,16,False,2023-04-17,2026-04-17,727,35.74398987522005,21.621617902116405,1.5774563573487486,-15.707665516652902,150.18004864580013,1.0198407315096034,0.048382428782064,1.6643352008905339,3.7138927097661623,22
last_5y,volume_only,70,16,False,2021-04-19,2026-04-17,1211,35.962970098562266,20.12587392935651,1.6867281257050128,-15.70766551665298,363.7472236514793,-1.5028469669561488,0.022736583272460198,1.6643352008904202,11.06523534269199,33
last_3y,volume_only,70,16,False,2023-04-17,2026-04-17,727,36.67568927570093,21.087735428893208,1.645710797223807,-15.707665516652892,155.36812864484406,1.951540131990484,0.11663686865712242,1.6643352008905445,10.729023383768913,20
last_5y,volume_plus_stirrer,70,16,False,2021-04-19,2026-04-17,1211,37.36631470752847,20.783524949711214,1.6912451499754817,-15.707665516652947,388.1484001807406,-0.09950235798994811,0.027253607542929048,1.664335200890454,4.293971924029727,41
last_3y,volume_plus_stirrer,70,16,False,2023-04-17,2026-04-17,727,35.74398987522005,21.621617902116405,1.5774563573487486,-15.707665516652902,150.18004864580013,1.0198407315096034,0.048382428782064,1.6643352008905339,3.7138927097661623,22
last_5y,volume_only,75,16,False,2021-04-19,2026-04-17,1211,35.46024749261414,20.007034931376992,1.6762935162738901,-15.707665516652868,355.24726044059605,-2.005569572904278,0.012301973841337466,1.664335200890532,12.22130470685384,35
last_3y,volume_only,75,16,False,2023-04-17,2026-04-17,727,36.19200970209402,20.95058197586767,1.6374844428038813,-15.707665516652892,152.6659432214395,1.4678605583835704,0.10841051423719672,1.6643352008905445,12.242090784044017,22
last_5y,volume_plus_stirrer,75,16,False,2021-04-19,2026-04-17,1211,36.999106200936914,20.748950606293874,1.6802972882485712,-15.707665516652892,381.66652559495003,-0.4667108645815006,0.016305745816018513,1.664335200890509,4.624277456647398,43
last_3y,volume_plus_stirrer,75,16,False,2023-04-17,2026-04-17,727,35.495120413624726,21.61660322271228,1.5689309283203314,-15.707665516652936,148.80623678848573,0.770971269914277,0.03985699975364687,1.6643352008905001,3.851444291609354,24
last_5y,volume_only,80,16,False,2021-04-19,2026-04-17,1211,35.92994223391695,20.01284166216123,1.6938619880924581,-15.707665516652902,363.1849274963365,-1.5358748316014683,0.029870445659905487,1.6643352008904984,12.056151940545003,35
last_3y,volume_only,80,16,False,2023-04-17,2026-04-17,727,36.73818129777313,20.95538273946773,1.6570491453298373,-15.707665516652913,155.7186536084174,2.014032154062683,0.1279752167631527,1.6643352008905232,12.104539202200826,22
last_5y,volume_plus_stirrer,80,16,False,2021-04-19,2026-04-17,1211,37.150250693389374,20.75206524133229,1.6856052286274166,-15.707665516652936,384.32610194912513,-0.31556637212904093,0.021613686194863924,1.6643352008904646,4.541701073492981,41
last_3y,volume_plus_stirrer,80,16,False,2023-04-17,2026-04-17,727,35.74398987522005,21.621617902116405,1.5774563573487486,-15.707665516652902,150.18004864580013,1.0198407315096034,0.048382428782064,1.6643352008905339,3.7138927097661623,22
last_5y,volume_only,85,16,False,2021-04-19,2026-04-17,1211,35.87538283801421,20.12358747886393,1.6835353002521154,-15.707665516652847,362.257253565628,-1.590434227504204,0.019543757819562746,1.6643352008905534,11.80842279108175,35
last_3y,volume_only,85,16,False,2023-04-17,2026-04-17,727,35.75731505769344,21.024541252910662,1.6166320272648083,-15.707665516652924,150.2537487671573,1.033165913982991,0.0875580986981237,1.6643352008905126,11.004126547455295,22
last_5y,volume_plus_stirrer,85,16,False,2021-04-19,2026-04-17,1211,37.29850678992792,20.869170886448156,1.6826683977738728,-15.707665516652881,386.9462505151743,-0.16731027559049494,0.01867685534132013,1.6643352008905197,3.963666391412056,41
last_3y,volume_plus_stirrer,85,16,False,2023-04-17,2026-04-17,727,34.731380399126934,21.68113502307949,1.5377586754206116,-15.707665516652902,144.62165198213074,0.007231255416485283,0.008684746853927061,1.6643352008905339,2.613480055020633,22
last_5y,volume_only,90,16,False,2021-04-19,2026-04-17,1211,35.73383488836435,20.10506625469923,1.6795062599247472,-15.707665516652902,359.857438981372,-1.731982177154066,0.015514717492194574,1.6643352008904984,12.22130470685384,35
last_3y,volume_only,90,16,False,2023-04-17,2026-04-17,727,35.69278606733697,21.025555834997228,1.6142090294871843,-15.707665516652892,149.89698065292768,0.9686369236265193,0.0851351009204997,1.6643352008905445,10.866574965612106,22
last_5y,volume_plus_stirrer,90,16,False,2021-04-19,2026-04-17,1211,37.286942415990886,20.869056375786695,1.682256440715361,-15.707665516652913,386.7414651575397,-0.17887464952752907,0.018264898282808417,1.6643352008904877,3.8810900082576385,39
last_3y,volume_plus_stirrer,90,16,False,2023-04-17,2026-04-17,727,34.71249495500452,21.680946546522687,1.5370967191240794,-15.707665516652947,144.51877629013464,-0.011654188705925606,0.008022790557394854,1.6643352008904895,2.4759284731774414,20
last_5y,volume_only,95,16,False,2021-04-19,2026-04-17,1211,36.24321329860187,20.02297806173667,1.7050285857215477,-15.707665516652868,368.5403394800611,-1.2226037669165422,0.041037043288995045,1.664335200890532,12.22130470685384,35
last_3y,volume_only,95,16,False,2023-04-17,2026-04-17,727,35.93193794552067,21.01659900099805,1.6235332569334533,-15.707665516652868,151.2209070292721,1.2077888018102243,0.09445932836676874,1.6643352008905676,11.141678129298487,22
last_5y,volume_plus_stirrer,95,16,False,2021-04-19,2026-04-17,1211,37.698114875879526,20.846049685925948,1.698808280251759,-15.707665516652902,394.065073950364,0.23229781036111063,0.034816737819206356,1.6643352008904984,4.128819157720892,41
last_3y,volume_plus_stirrer,95,16,False,2023-04-17,2026-04-17,727,34.949919118197045,21.67228100933281,1.5460863181245426,-15.707665516652913,145.8142095386522,0.22576997448659597,0.017012389557858,1.6643352008905232,2.7510316368638237,20
last_5y,volume_only,100,16,False,2021-04-19,2026-04-17,1211,36.458000190694364,20.033311552238445,1.7124340177917856,-15.707665516652858,372.240680157514,-1.0078168748240515,0.04844247535923296,1.6643352008905428,12.22130470685384,33
last_3y,volume_only,100,16,False,2023-04-17,2026-04-17,727,36.49528811363982,21.02534579283475,1.6434313896579604,-15.707665516652847,154.35803526532476,1.7711389699293747,0.11435746109127587,1.664335200890589,11.279229711141678,20
last_5y,volume_plus_stirrer,100,16,False,2021-04-19,2026-04-17,1211,37.68123709206756,20.843667091109047,1.6983666213117594,-15.707665516652892,393.76273097074215,0.21542002654914683,0.034375078879206766,1.664335200890509,4.459124690338563,41
last_3y,volume_plus_stirrer,100,16,False,2023-04-17,2026-04-17,727,34.92239225949183,21.66845355381057,1.5453405699613396,-15.707665516652924,145.66378360396587,0.19824311578138065,0.016266641394655057,1.6643352008905126,3.3012379642365883,20
