scope,window,ma,days,start,end,n_days,annual,vol,sharpe,max_dd,calmar,total_return,annual_delta,sharpe_delta,max_dd_delta,signal_days,signal_days_pct,defense_days,defense_days_pct,switch_count
microcap_v1_0_costed_top1_stirrer_broad_own_volume_half,last_5y,20,10,2021-04-30,2026-04-30,1208,32.489619544150706,16.262598146306605,1.88645701461068,-11.289552618241505,2.877848276436962,308.1554839058765,0.0927771603051113,0.009522037199646505,0.9120598229082066,30,2.4834437086092715,30,2.4834437086092715,16
microcap_v1_0_costed_top1_stirrer_broad_own_volume_half,last_3y,20,10,2023-05-04,2026-04-30,723,28.33687496613997,15.446363818274206,1.7613386198108083,-11.289552618241505,2.5100086712341136,110.83462787463651,0.7782016232228877,0.04765991381488721,0.9120598229082404,26,3.5961272475795294,26,3.5961272475795294,12
microcap_v1_0_costed_top1_stirrer_broad_own_volume_half,full,20,12,2010-02-02,2026-04-30,3940,31.14472457037283,11.723015462485668,2.461928021478389,-11.292247369176,2.7580625496557354,8066.963788613783,0.08914689119801267,0.00791850164217145,0.909365071973701,23,0.583756345177665,23,0.583756345177665,16
microcap_v1_0_costed_top1_stirrer_broad_own_volume_half,last_10y,20,12,2016-05-03,2026-04-30,2426,31.996444772238995,13.595033970445414,2.18815294338104,-11.292247369176012,2.8334877660914857,1501.2791715978626,0.15962627026568654,0.011225903750863964,0.9093650719736885,21,0.8656224237427864,21,0.8656224237427864,12
microcap_v1_0_costed_top1_stirrer_broad_own_volume_half,last_5y,20,12,2021-04-30,2026-04-30,1208,32.54330268980667,16.29588441173962,1.885534756780263,-11.28968802897331,2.882568819110777,308.98293849499663,0.14646030596107806,0.008599779369229399,0.9119244121764005,19,1.5728476821192054,19,1.5728476821192054,8
microcap_v1_0_costed_top1_stirrer_broad_own_volume_half,last_3y,20,12,2023-05-04,2026-04-30,723,27.91461585009063,15.489573225364339,1.734667724709622,-11.289688028973345,2.472576370441045,108.76744190563934,0.35594250717354825,0.020989018713700958,0.9119244121764005,18,2.4896265560165975,18,2.4896265560165975,6
microcap_v1_0_costed_top1_stirrer_broad_own_volume_half,full,20,13,2010-02-02,2026-04-30,3940,31.09446373734679,11.72818752425781,2.457495863373058,-11.745114420985214,2.6474381281283845,8016.286951278337,0.03888605817197188,0.0034863435368404083,0.4564980201644868,18,0.4568527918781726,18,0.4568527918781726,10
microcap_v1_0_costed_top1_stirrer_broad_own_volume_half,last_10y,20,13,2016-05-03,2026-04-30,2426,31.915816362900262,13.601967219921976,2.182439914138314,-11.745114420985193,2.7173695563046825,1491.534115351325,0.07899786092695393,0.005512874508137866,0.45649802016450813,17,0.7007419620774938,17,0.7007419620774938,8
microcap_v1_0_costed_top1_stirrer_broad_own_volume_half,last_5y,20,13,2021-04-30,2026-04-30,1208,32.481188813956784,16.303004109350493,1.8817804119760655,-11.745114420985203,2.7655063756485907,308.0256571332894,0.08434643011118936,0.0048454345650319475,0.45649802016450813,16,1.3245033112582782,16,1.3245033112582782,6
microcap_v1_0_costed_top1_stirrer_broad_own_volume_half,last_3y,20,13,2023-05-04,2026-04-30,723,27.694589215213572,15.49896115678655,1.7221241961284153,-11.745114420985193,2.3579667445155907,107.69565892208179,0.13591587229648994,0.008445490132494182,0.45649802016455254,16,2.2130013831258646,16,2.2130013831258646,6
