ma,days,start,end,n_days,annual,vol,sharpe,max_dd,calmar,total_return,annual_delta,sharpe_delta,max_dd_delta,signal_days,signal_days_pct,defense_days,defense_days_pct,switch_count
35,14,2023-07-05,2026-04-30,681,23.226388603398252,15.269724744788038,1.5043819460701096,-12.201612441149724,1.9035507573628272,80.2118109754958,-1.071923877306567,-0.02637771545164802,3.197442310920451e-14,30,4.405286343612335,30,4.405286343612335,20
35,16,2023-07-05,2026-04-30,681,23.98351615337706,15.355218461645451,1.5385082423647662,-12.20161244114969,1.9656021914360384,83.35174909412497,-0.314796327327759,0.007748580843008668,6.572520305780927e-14,23,3.3773861967694567,23,3.3773861967694567,18
35,18,2023-07-05,2026-04-30,681,23.720149516403822,15.430163432080926,1.5173940962373225,-12.201612441149711,1.9440176149512878,82.25555099263424,-0.5781629643009971,-0.01336556528443511,4.440892098500626e-14,18,2.643171806167401,18,2.643171806167401,16
35,20,2023-07-05,2026-04-30,681,23.83526514946517,15.520260464370125,1.5157407085793952,-12.201612441149711,1.953452075652,82.73416928366126,-0.46304733123965036,-0.01501895294236233,4.440892098500626e-14,14,2.0558002936857562,14,2.0558002936857562,14
35,22,2023-07-05,2026-04-30,681,23.449404218432733,15.56791326395551,1.490642238023352,-12.201612441149711,1.9218283101133464,81.13305951247771,-0.8489082622720865,-0.040117423498405635,4.440892098500626e-14,9,1.3215859030837005,9,1.3215859030837005,12
35,24,2023-07-05,2026-04-30,681,23.98382142797142,15.593982441319612,1.5173397494224827,-12.201612441149734,1.9656272106370452,83.35302218599452,-0.3144910527333984,-0.013419912099274844,2.1316282072803006e-14,6,0.881057268722467,6,0.881057268722467,8
35,26,2023-07-05,2026-04-30,681,24.48873755818388,15.62434702803632,1.5418582608499742,-12.2016124411497,2.007008309458846,85.46649933455765,0.19042507747906257,0.011098599328216663,5.5067062021407764e-14,2,0.2936857562408223,2,0.2936857562408223,2
35,28,2023-07-05,2026-04-30,681,24.254165321019492,15.634825069889036,1.5283302328182828,-12.201612441149745,1.9877836177801143,84.48268286591815,-0.0441471596853269,-0.002429428703474734,1.0658141036401503e-14,1,0.14684287812041116,1,0.14684287812041116,2
35,30,2023-07-05,2026-04-30,681,24.29831248070482,15.634185330329084,1.5307596615217576,-12.201612441149756,1.9914017592264381,84.66758197695955,0.0,0.0,0.0,0,0.0,0,0.0,0
40,2,2023-07-05,2026-04-30,681,23.901149379634635,14.261551668524572,1.6402323259571332,-9.944336460768932,2.4034936341832616,83.00846191565381,-0.39716310107018415,0.10947266443537562,2.2572759803808236,126,18.502202643171806,126,18.502202643171806,78
40,4,2023-07-05,2026-04-30,681,24.298977810253362,14.570081357200642,1.6315356397876883,-10.554207434433394,2.3023024666899454,84.67036945437461,0.0006653295485428146,0.10077597826593077,1.6474050067163617,100,14.684287812041116,100,14.684287812041116,62
40,6,2023-07-05,2026-04-30,681,25.303747918097397,14.784332383481672,1.6668924399727745,-9.980455275413169,2.535330024516329,88.91102811391067,1.0054354373925776,0.1361327784510169,2.221157165736587,77,11.30690161527166,77,11.30690161527166,48
